English
Date         Expected         Predicted         Error
2015-11-06     3610               3551           59.0
2015-11-07     3504               3876           372.0
2015-11-08     3825               3978           153.0
2015-11-09     3979               3768           211.0
2015-11-10     3816               3757           59.0
2015-11-11     3778               3734           44.0
2015-11-12     3719               3543           176.0
2015-11-13     3511               3650           139.0
2015-11-14     3603               4018           415.0
2015-11-15     3993               4032           39.0
2015-11-16     4076               3823           253.0
2015-11-17     3889               3771           118.0
2015-11-18     3787               3784           3.0
2015-11-19     3750               3705           45.0
2015-11-20     3665               3910           245.0
2015-11-21     3876               4097           221.0
2015-11-22     4109               4140           31.0
2015-11-23     4187               3907           280.0
2015-11-24     3965               3923           42.0
2015-11-25     3917               3795           122.0
2015-11-26     3765               3799           34.0
2015-11-27     3744               3967           223.0
2015-11-28     3935               4069           134.0
2015-11-29     4074               4246           172.0
2015-11-30     4282               3929           353.0
2015-12-01     3993               3795           198.0
2015-12-02     3787               3865           78.0
2015-12-03     3814               3714           100.0
2015-12-04     3661               3655           6.0
2015-12-05     3611               3919           308.0
2015-12-06     3889               4244           355.0
2015-12-07     4258               3962           296.0
2015-12-08     4043               3858           185.0
2015-12-09     3894               3750           144.0
2015-12-10     3734               3832           98.0
2015-12-11     3764               3622           142.0
2015-12-12     3589               4051           462.0
2015-12-13     4004               4064           60.0
2015-12-14     4103               3790           313.0
2015-12-15     3835               3824           11.0
2015-12-16     3832               3840           8.0
2015-12-17     3813               3843           30.0
2015-12-18     3809               3746           63.0
2015-12-19     3739               3960           221.0
2015-12-20     3941               4131           190.0
2015-12-21     4147               3873           274.0
2015-12-22     3919               3899           20.0
2015-12-23     3904               3720           184.0
2015-12-24     3707               3736           29.0
2015-12-25     3678               4166           488.0
2015-12-26     4128               4167           39.0
2015-12-27     4207               4172           35.0
2015-12-28     4230               4103           127.0
2015-12-29     4156               3968           188.0
2015-12-30     3964               3765           199.0
2015-12-31     3726               4228           502.0
2016-01-01     4154               4462           308.0
2016-01-02     4472               4533           61.0
2016-01-03     4603               4561           42.0
2016-01-04     4656               4154           502.0
2016-01-05     4208               4284           76.0
2016-01-06     4230               4247           17.0
2016-01-07     4197               4163           34.0
2016-01-08     4113               4305           192.0
2016-01-09     4285               4490           205.0
2016-01-10     4497               6052           1555.0
2016-01-11     6079               4603           1476.0
2016-01-12     4889               4293           596.0
2016-01-13     4326               4835           509.0
2016-01-14     4753               4512           241.0
2016-01-15     4390               4361           29.0
2016-01-16     4299               4663           364.0
2016-01-17     4640               4736           96.0
2016-01-18     4735               4545           190.0
2016-01-19     4588               4313           275.0
2016-01-20     4333               4333           0.0
2016-01-21     4282               4436           154.0
2016-01-22     4377               4245           132.0
2016-01-23     4225               4590           365.0
2016-01-24     4566               4906           340.0
2016-01-25     4940               4376           564.0
2016-01-26     4458               4362           96.0
2016-01-27     4364               4139           225.0
2016-01-28     4101               4212           111.0
2016-01-29     4109               4192           83.0
2016-01-30     4147               4730           583.0
2016-01-31     4702               4850           148.0
2016-02-01     4933               4834           99.0
2016-02-02     4935               4530           405.0
2016-02-03     4610               4502           108.0
2016-02-04     4472               4624           152.0
2016-02-05     4559               4214           345.0
2016-02-06     4177               4839           662.0
2016-02-07     4769               5458           689.0
2016-02-08     5499               4401           1098.0
2016-02-09     4548               4552           4.0
2016-02-10     4550               4111           439.0
2016-02-11     4067               4457           390.0
2016-02-12     4285               4336           51.0
2016-02-13     4306               4825           519.0
2016-02-14     4798               4730           68.0
2016-02-15     4823               4971           148.0
2016-02-16     5030               4531           499.0
2016-02-17     4612               4322           290.0
2016-02-18     4284               4292           8.0
2016-02-19     4208               4312           104.0
2016-02-20     4215               4644           429.0
2016-02-21     4596               4896           300.0
2016-02-22     4939               4391           548.0
2016-02-23     4489               4497           8.0
2016-02-24     4503               4570           67.0
2016-02-25     4546               4287           259.0
2016-02-26     4249               4243           6.0
2016-02-27     4200               4623           423.0
2016-02-28     4576               6027           1451.0
2016-02-29     6032               4334           1698.0
2016-03-01     4601               4538           63.0
2016-03-02     4531               4517           14.0
2016-03-03     4471               4561           90.0
2016-03-04     4399               4635           236.0
2016-03-05     4604               4991           387.0
2016-03-06     5000               4882           118.0
2016-03-07     4955               4434           521.0
2016-03-08     4495               4431           64.0
2016-03-09     4391               4134           257.0
2016-03-10     4057               4114           57.0
2016-03-11     4002               3894           108.0
2016-03-12     3831               3956           125.0
2016-03-13     3886               4287           401.0
2016-03-14     4261               3895           366.0
2016-03-15     3939               4176           237.0
2016-03-16     4171               3890           281.0
2016-03-17     3920               3681           239.0
2016-03-18     3637               3639           2.0
2016-03-19     3584               3877           293.0
2016-03-20     3804               3908           104.0
2016-03-21     3902               3700           202.0
2016-03-22     3733               3733           0.0
2016-03-23     3736               3707           29.0
2016-03-24     3693               3818           125.0
2016-03-25     3790               3751           39.0
2016-03-26     3756               4017           261.0
2016-03-27     4012               4185           173.0
2016-03-28     4223               3977           246.0
2016-03-29     4033               3779           254.0
2016-03-30     3798               3715           83.0
2016-03-31     3674               3715           41.0
2016-04-01     3645               4354           709.0
2016-04-02     4302               4633           331.0
2016-04-03     4709               4772           63.0
2016-04-04     4904               4504           400.0
2016-04-05     4644               4704           60.0
2016-04-06     4723               4056           667.0
2016-04-07     4056               4019           37.0
2016-04-08     3899               4103           204.0
2016-04-09     4001               4306           305.0
2016-04-10     4231               4269           38.0
2016-04-11     4295               4027           268.0
2016-04-12     4071               4042           29.0
2016-04-13     4035               3916           119.0
2016-04-14     3886               3829           57.0
2016-04-15     3776               3715           61.0
2016-04-16     3673               3999           326.0
2016-04-17     3949               4204           255.0
2016-04-18     4215               4097           118.0
2016-04-19     4156               4128           28.0
2016-04-20     4173               4708           535.0
2016-04-21     4720               4409           311.0
2016-04-22     4485               4038           447.0
2016-04-23     4069               4440           371.0
2016-04-24     4395               4496           101.0
2016-04-25     4467               4094           373.0
2016-04-26     4102               4047           55.0
2016-04-27     4028               4070           42.0
2016-04-28     4017               3870           147.0
2016-04-29     3820               3975           155.0
2016-04-30     3932               4125           193.0
2016-05-01     4110               4391           281.0
2016-05-02     4405               4194           211.0
2016-05-03     4267               4201           66.0
2016-05-04     4229               3961           268.0
2016-05-05     3965               4063           98.0
2016-05-06     4000               3986           14.0
2016-05-07     3951               4267           316.0
2016-05-08     4231               4273           42.0
2016-05-09     4307               4102           205.0
2016-05-10     4139               3964           175.0
2016-05-11     3972               4059           87.0
2016-05-12     4015               3908           107.0
2016-05-13     3874               4016           142.0
2016-05-14     3978               4322           344.0
2016-05-15     4317               4354           37.0
2016-05-16     4399               4051           348.0
2016-05-17     4112               4080           32.0
2016-05-18     4076               4005           71.0
2016-05-19     3969               3769           200.0
2016-05-20     3718               4108           390.0
2016-05-21     4046               4018           28.0
2016-05-22     4023               4361           338.0
2016-05-23     4365               3950           415.0
2016-05-24     4029               3971           58.0
2016-05-25     3955               3902           53.0
2016-05-26     3880               3746           134.0
2016-05-27     3690               3899           209.0
2016-05-28     3848               4040           192.0
2016-05-29     4027               4181           154.0
2016-05-30     4202               3987           215.0
2016-05-31     4048               3928           120.0
2016-06-01     3940               3840           100.0
2016-06-02     3818               3804           14.0
2016-06-03     3753               4240           487.0
2016-06-04     4197               4455           258.0
2016-06-05     4495               4423           72.0
2016-06-06     4510               4109           401.0
2016-06-07     4189               4183           6.0
2016-06-08     4161               4116           45.0
2016-06-09     4070               4123           53.0
2016-06-10     4070               4448           378.0
2016-06-11     4427               4666           239.0
2016-06-12     4704               4740           36.0
2016-06-13     4819               4587           232.0
2016-06-14     4669               4244           425.0
2016-06-15     4262               4188           74.0
2016-06-16     4116               4018           98.0
2016-06-17     3929               4077           148.0
2016-06-18     3986               4431           445.0
2016-06-19     4395               4891           496.0
2016-06-20     4932               4091           841.0
2016-06-21     4228               4318           90.0
2016-06-22     4311               4172           139.0
2016-06-23     4148               4269           121.0
2016-06-24     4180               4153           27.0
2016-06-25     4141               4394           253.0
2016-06-26     4369               4541           172.0
2016-06-27     4567               4252           315.0
2016-06-28     4303               4095           208.0
2016-06-29     4098               4499           401.0
2016-06-30     4448               4172           276.0
2016-07-01     4172               4321           149.0
2016-07-02     4296               4339           43.0
2016-07-03     4353               4578           225.0
2016-07-04     4569               4480           89.0
2016-07-05     4527               5066           539.0
2016-07-06     5082               4241           841.0
2016-07-07     4342               3968           374.0
2016-07-08     3918               4271           353.0
2016-07-09     4165               4901           736.0
2016-07-10     4805               4803           2.0
2016-07-11     4883               4126           757.0
2016-07-12     4240               4142           98.0
2016-07-13     4113               4155           42.0
2016-07-14     4061               4067           6.0
2016-07-15     3977               4185           208.0
2016-07-16     4147               4369           222.0
2016-07-17     4373               4367           6.0
2016-07-18     4409               4501           92.0
2016-07-19     4545               5624           1079.0
2016-07-20     5657               6771           1114.0
2016-07-21     6944               7327           383.0
2016-07-22     7659               7205           454.0
2016-07-23     7573               7798           225.0
2016-07-24     7990               8191           201.0
2016-07-25     8306               8298           8.0
2016-07-26     8382               7943           439.0
2016-07-27     8032               7912           120.0
2016-07-28     7896               7637           259.0
2016-07-29     7579               7414           165.0
2016-07-30     7313               7913           600.0
2016-07-31     7812               8048           236.0
2016-08-01     8054               7620           434.0
2016-08-02     7689               6821           868.0
2016-08-03     6846               6507           339.0
2016-08-04     6358               6729           371.0
2016-08-05     6511               7274           763.0
2016-08-06     7145               7268           123.0
2016-08-07     7328               7930           602.0
2016-08-08     8038               7558           480.0
2016-08-09     7747               8120           373.0
2016-08-10     8172               7695           477.0
2016-08-11     7791               7931           140.0
2016-08-12     7891               7869           22.0
2016-08-13     7875               8118           243.0
2016-08-14     8084               8274           190.0
2016-08-15     8307               7281           1026.0
2016-08-16     7342               4815           2527.0
2016-08-17     4734               5121           387.0
2016-08-18     4629               4963           334.0
2016-08-19     4533               4904           371.0
2016-08-20     4616               5164           548.0
2016-08-21     5145               4989           156.0
2016-08-22     5065               4658           407.0
2016-08-23     4717               4499           218.0
2016-08-24     4486               4415           71.0
2016-08-25     4327               4294           33.0
2016-08-26     4204               4698           494.0
2016-08-27     4630               4959           329.0
2016-08-28     4985               5578           593.0
2016-08-29     5661               5894           233.0
2016-08-30     6073               5925           148.0
2016-08-31     6099               5903           196.0
2016-09-01     6018               6052           34.0
2016-09-02     6078               6358           280.0
2016-09-03     6353               6417           64.0
2016-09-04     6453               5745           708.0
2016-09-05     5800               5469           331.0
2016-09-06     5408               4960           448.0
2016-09-07     4831               4649           182.0
2016-09-08     4450               4458           8.0
2016-09-09     4289               4835           546.0
2016-09-10     4700               4940           240.0
2016-09-11     4938               4671           267.0
2016-09-12     4738               4869           131.0
2016-09-13     4902               4854           48.0
2016-09-14     4874               5019           145.0
2016-09-15     5009               4222           787.0
2016-09-16     4256               4616           360.0
2016-09-17     4509               4822           313.0
2016-09-18     4775               5033           258.0
2016-09-19     5023               4426           597.0
2016-09-20     4520               4669           149.0
2016-09-21     4644               4541           103.0
2016-09-22     4519               4519           0.0
2016-09-23     4462               4473           11.0
2016-09-24     4457               4803           346.0
2016-09-25     4776               4782           6.0
2016-09-26     4819               4786           33.0
2016-09-27     4825               4671           154.0
2016-09-28     4705               4576           129.0
2016-09-29     4560               4387           173.0
2016-09-30     4348               4714           366.0
2016-10-01     4646               4907           261.0
2016-10-02     4905               5114           209.0
2016-10-03     5162               4887           275.0
2016-10-04     4983               5365           382.0
2016-10-05     5386               5316           70.0
2016-10-06     5376               4253           1123.0
2016-10-07     4286               4811           525.0
2016-10-08     4678               5244           566.0
2016-10-09     5161               5124           37.0
2016-10-10     5134               4399           735.0
2016-10-11     4492               4521           29.0
2016-10-12     4464               4666           202.0
2016-10-13     4576               4461           115.0
2016-10-14     4408               4705           297.0
2016-10-15     4684               4923           239.0
2016-10-16     4948               5075           127.0
2016-10-17     5126               4738           388.0
2016-10-18     4822               4777           45.0
2016-10-19     4774               4896           122.0
2016-10-20     4864               4490           374.0
2016-10-21     4466               4609           143.0
2016-10-22     4550               4902           352.0
2016-10-23     4868               5049           181.0
2016-10-24     5062               4698           364.0
2016-10-25     4771               4592           179.0
2016-10-26     4599               4603           4.0
2016-10-27     4557               4255           302.0
2016-10-28     4197               4496           299.0
2016-10-29     4413               4878           465.0
2016-10-30     4855               4956           101.0
2016-10-31     5008               4639           369.0
2016-11-01     4734               4879           145.0
2016-11-02     4894               5078           184.0
2016-11-03     5077               4705           372.0
2016-11-04     4723               4989           266.0
2016-11-05     4967               5338           371.0
2016-11-06     5342               5350           8.0
2016-11-07     5397               5380           17.0
2016-11-08     5452               7502           2050.0
2016-11-09     7532               5846           1686.0
2016-11-10     6178               5500           678.0
2016-11-11     5553               5452           101.0
2016-11-12     5394               6172           778.0
2016-11-13     5931               6002           71.0
2016-11-14     5997               5291           706.0
2016-11-15     5351               5232           119.0
2016-11-16     5191               5051           140.0
2016-11-17     4952               4866           86.0
2016-11-18     4744               4878           134.0
2016-11-19     4797               4993           196.0
2016-11-20     4947               5346           399.0
2016-11-21     5347               5260           87.0
2016-11-22     5339               4802           537.0
2016-11-23     4863               4610           253.0
2016-11-24     4574               4577           3.0
2016-11-25     4472               5167           695.0
2016-11-26     5061               5247           186.0
2016-11-27     5289               4750           539.0
2016-11-28     4845               4976           131.0
2016-11-29     4988               4672           316.0
2016-11-30     4660               4691           31.0
2016-12-01     4611               4578           33.0
2016-12-02     4541               5178           637.0
2016-12-03     5120               5104           16.0
2016-12-04     5172               5216           44.0
2016-12-05     5282               5165           117.0
2016-12-06     5240               4930           310.0
2016-12-07     4939               4883           56.0
2016-12-08     4840               4561           279.0
2016-12-09     4503               4792           289.0
2016-12-10     4694               4907           213.0
2016-12-11     4879               5009           130.0
2016-12-12     5021               4722           299.0
2016-12-13     4781               5031           250.0
2016-12-14     5023               4550           473.0
2016-12-15     4570               4373           197.0
2016-12-16     4308               4382           74.0
2016-12-17     4306               5066           760.0
2016-12-18     4979               5365           386.0
2016-12-19     5432               5166           266.0
2016-12-20     5312               4831           481.0
2016-12-21     4932               5031           99.0
2016-12-22     4998               4734           264.0
2016-12-23     4684               5056           372.0
2016-12-24     4972               5135           163.0
2016-12-25     5141               5751           610.0
2016-12-26     5771               5904           133.0
2016-12-27     6041               5730           311.0
2016-12-28     5861               6186           325.0
2016-12-29     6246               5136           1110.0
2016-12-30     5202               5261           59.0
2016-12-31     5128               5366           238.0
Japanese
Date         Expected         Predicted         Error
2015-07-01     581               648           67.0
2015-07-02     667               607           60.0
2015-07-03     603               708           105.0
2015-07-04     757               682           75.0
2015-07-05     726               640           86.0
2015-07-06     633               603           30.0
2015-07-07     616               649           33.0
2015-07-08     612               637           25.0
2015-07-09     597               673           76.0
2015-07-10     620               657           37.0
2015-07-11     640               653           13.0
2015-07-12     689               612           77.0
2015-07-13     613               594           19.0
2015-07-14     574               589           15.0
2015-07-15     576               653           77.0
2015-07-16     658               720           62.0
2015-07-17     788               665           123.0
2015-07-18     663               623           40.0
2015-07-19     650               616           34.0
2015-07-20     650               620           30.0
2015-07-21     568               632           64.0
2015-07-22     570               634           64.0
2015-07-23     542               572           30.0
2015-07-24     493               545           52.0
2015-07-25     480               555           75.0
2015-07-26     514               524           10.0
2015-07-27     497               511           14.0
2015-07-28     486               515           29.0
2015-07-29     529               486           43.0
2015-07-30     477               470           7.0
2015-07-31     447               465           18.0
2015-08-01     434               494           60.0
2015-08-02     484               509           25.0
2015-08-03     523               555           32.0
2015-08-04     605               530           75.0
2015-08-05     595               545           50.0
2015-08-06     624               542           82.0
2015-08-07     606               585           21.0
2015-08-08     622               619           3.0
2015-08-09     661               645           16.0
2015-08-10     654               622           32.0
2015-08-11     623               647           24.0
2015-08-12     667               648           19.0
2015-08-13     662               674           12.0
2015-08-14     695               700           5.0
2015-08-15     744               705           39.0
2015-08-16     742               666           76.0
2015-08-17     676               659           17.0
2015-08-18     638               648           10.0
2015-08-19     603               634           31.0
2015-08-20     544               643           99.0
2015-08-21     564               719           155.0
2015-08-22     752               776           24.0
2015-08-23     901               672           229.0
2015-08-24     711               649           62.0
2015-08-25     721               615           106.0
2015-08-26     639               709           70.0
2015-08-27     694               748           54.0
2015-08-28     706               770           64.0
2015-08-29     699               707           8.0
2015-08-30     738               688           50.0
2015-08-31     679               661           18.0
2015-09-01     655               657           2.0
2015-09-02     620               679           59.0
2015-09-03     641               660           19.0
2015-09-04     619               688           69.0
2015-09-05     672               687           15.0
2015-09-06     724               641           83.0
2015-09-07     628               617           11.0
2015-09-08     614               625           11.0
2015-09-09     614               624           10.0
2015-09-10     580               630           50.0
2015-09-11     588               645           57.0
2015-09-12     618               646           28.0
2015-09-13     676               612           64.0
2015-09-14     615               582           33.0
2015-09-15     561               571           10.0
2015-09-16     562               611           49.0
2015-09-17     601               627           26.0
2015-09-18     614               643           29.0
2015-09-19     647               615           32.0
2015-09-20     643               672           29.0
2015-09-21     771               661           110.0
2015-09-22     722               783           61.0
2015-09-23     926               651           275.0
2015-09-24     649               699           50.0
2015-09-25     688               678           10.0
2015-09-26     689               788           99.0
2015-09-27     726               782           56.0
2015-09-28     822               736           86.0
2015-09-29     642               637           5.0
2015-09-30     627               637           10.0
2015-10-01     602               672           70.0
2015-10-02     600               718           118.0
2015-10-03     720               741           21.0
2015-10-04     741               649           92.0
2015-10-05     671               623           48.0
2015-10-06     644               628           16.0
2015-10-07     628               665           37.0
2015-10-08     659               664           5.0
2015-10-09     602               685           83.0
2015-10-10     668               686           18.0
2015-10-11     729               693           36.0
2015-10-12     728               624           104.0
2015-10-13     615               618           3.0
2015-10-14     588               613           25.0
2015-10-15     584               670           86.0
2015-10-16     633               692           59.0
2015-10-17     680               695           15.0
2015-10-18     718               618           100.0
2015-10-19     639               610           29.0
2015-10-20     623               633           10.0
2015-10-21     651               649           2.0
2015-10-22     614               671           57.0
2015-10-23     656               665           9.0
2015-10-24     652               659           7.0
2015-10-25     676               623           53.0
2015-10-26     622               643           21.0
2015-10-27     636               607           29.0
2015-10-28     585               627           42.0
2015-10-29     584               657           73.0
2015-10-30     673               651           22.0
2015-10-31     637               642           5.0
2015-11-01     667               692           25.0
2015-11-02     781               656           125.0
2015-11-03     683               606           77.0
2015-11-04     580               622           42.0
2015-11-05     587               670           83.0
2015-11-06     655               706           51.0
2015-11-07     703               734           31.0
2015-11-08     747               645           102.0
2015-11-09     654               604           50.0
2015-11-10     614               606           8.0
2015-11-11     587               649           62.0
2015-11-12     597               674           77.0
2015-11-13     645               691           46.0
2015-11-14     686               645           41.0
2015-11-15     664               609           55.0
2015-11-16     618               607           11.0
2015-11-17     614               622           8.0
2015-11-18     610               634           24.0
2015-11-19     599               637           38.0
2015-11-20     607               639           32.0
2015-11-21     639               646           7.0
2015-11-22     677               677           0.0
2015-11-23     740               681           59.0
2015-11-24     744               635           109.0
2015-11-25     641               607           34.0
2015-11-26     577               624           47.0
2015-11-27     575               674           99.0
2015-11-28     633               698           65.0
2015-11-29     672               644           28.0
2015-11-30     606               588           18.0
2015-12-01     581               645           64.0
2015-12-02     719               624           95.0
2015-12-03     618               643           25.0
2015-12-04     635               642           7.0
2015-12-05     662               680           18.0
2015-12-06     716               624           92.0
2015-12-07     617               642           25.0
2015-12-08     596               599           3.0
2015-12-09     580               635           55.0
2015-12-10     600               642           42.0
2015-12-11     621               692           71.0
2015-12-12     717               672           45.0
2015-12-13     742               628           114.0
2015-12-14     649               626           23.0
2015-12-15     659               642           17.0
2015-12-16     644               655           11.0
2015-12-17     615               723           108.0
2015-12-18     736               700           36.0
2015-12-19     688               694           6.0
2015-12-20     732               644           88.0
2015-12-21     650               650           0.0
2015-12-22     626               715           89.0
2015-12-23     783               728           55.0
2015-12-24     702               784           82.0
2015-12-25     869               909           40.0
2015-12-26     1136               766           370.0
2015-12-27     790               749           41.0
2015-12-28     806               759           47.0
2015-12-29     745               830           85.0
2015-12-30     761               1019           258.0
2015-12-31     1131               940           191.0
2016-01-01     848               874           26.0
2016-01-02     968               831           137.0
2016-01-03     925               870           55.0
2016-01-04     841               857           16.0
2016-01-05     859               959           100.0
2016-01-06     860               871           11.0
2016-01-07     852               909           57.0
2016-01-08     894               877           17.0
2016-01-09     867               988           121.0
2016-01-10     1134               1154           20.0
2016-01-11     1441               991           450.0
2016-01-12     1038               886           152.0
2016-01-13     890               883           7.0
2016-01-14     848               1007           159.0
2016-01-15     899               1055           156.0
2016-01-16     909               1096           187.0
2016-01-17     967               928           39.0
2016-01-18     941               891           50.0
2016-01-19     923               832           91.0
2016-01-20     805               884           79.0
2016-01-21     852               926           74.0
2016-01-22     931               937           6.0
2016-01-23     902               936           34.0
2016-01-24     976               851           125.0
2016-01-25     825               816           9.0
2016-01-26     787               819           32.0
2016-01-27     774               844           70.0
2016-01-28     736               890           154.0
2016-01-29     896               900           4.0
2016-01-30     904               868           36.0
2016-01-31     928               781           147.0
2016-02-01     802               799           3.0
2016-02-02     796               836           40.0
2016-02-03     867               867           0.0
2016-02-04     795               870           75.0
2016-02-05     853               854           1.0
2016-02-06     850               856           6.0
2016-02-07     890               798           92.0
2016-02-08     786               847           61.0
2016-02-09     839               830           9.0
2016-02-10     848               915           67.0
2016-02-11     949               928           21.0
2016-02-12     1009               926           83.0
2016-02-13     971               906           65.0
2016-02-14     997               843           154.0
2016-02-15     798               833           35.0
2016-02-16     743               849           106.0
2016-02-17     742               900           158.0
2016-02-18     792               853           61.0
2016-02-19     785               873           88.0
2016-02-20     873               824           49.0
2016-02-21     902               763           139.0
2016-02-22     765               741           24.0
2016-02-23     726               749           23.0
2016-02-24     693               748           55.0
2016-02-25     652               798           146.0
2016-02-26     751               797           46.0
2016-02-27     770               768           2.0
2016-02-28     804               719           85.0
2016-02-29     750               692           58.0
2016-03-01     682               725           43.0
2016-03-02     755               739           16.0
2016-03-03     693               797           104.0
2016-03-04     810               795           15.0
2016-03-05     832               833           1.0
2016-03-06     911               748           163.0
2016-03-07     792               770           22.0
2016-03-08     766               758           8.0
2016-03-09     771               782           11.0
2016-03-10     694               810           116.0
2016-03-11     781               818           37.0
2016-03-12     789               823           34.0
2016-03-13     862               755           107.0
2016-03-14     766               766           0.0
2016-03-15     769               744           25.0
2016-03-16     762               798           36.0
2016-03-17     773               795           22.0
2016-03-18     787               844           57.0
2016-03-19     862               832           30.0
2016-03-20     896               820           76.0
2016-03-21     857               783           74.0
2016-03-22     788               757           31.0
2016-03-23     709               757           48.0
2016-03-24     680               796           116.0
2016-03-25     722               807           85.0
2016-03-26     754               810           56.0
2016-03-27     823               753           70.0
2016-03-28     771               701           70.0
2016-03-29     700               695           5.0
2016-03-30     695               725           30.0
2016-03-31     688               800           112.0
2016-04-01     820               798           22.0
2016-04-02     804               823           19.0
2016-04-03     900               763           137.0
2016-04-04     833               746           87.0
2016-04-05     743               747           4.0
2016-04-06     753               834           81.0
2016-04-07     813               812           1.0
2016-04-08     772               882           110.0
2016-04-09     913               889           24.0
2016-04-10     989               783           206.0
